mof_name,bound_solvent_xyz,free_solvent_xyz,mofid,type
OFIMOJ_ASR_pacman,['OFIMOJ_ASR_pacman_AllNode_bound_solvent0.xyz'],[],O=C(c1cc(cc(c1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Ni].[O-]C(=O)c1ccc(c(c1)S([O])([O])[O])C(=O)[O-] MOFid-v1.UNKNOWN.cat0;OFIMOJ_ASR_pacman,ASR
OTATOT_ASR_pacman,['OTATOT_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[O-]C(=O)c1ccccc1.[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-].[Tb] MOFid-v1.ERROR.cat0;OTATOT_ASR_pacman,ASR
EBEGEZ_ASR_pacman,['EBEGEZ_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Co].[Mo].[O].c1ccc(cn1)c1nnn[nH]1 MOFid-v1.ERROR.cat0;EBEGEZ_ASR_pacman,ASR
ONOHIL_ASR_pacman,['ONOHIL_ASR_pacman_AllNode_bound_solvent0.xyz'],[],C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;ONOHIL_ASR_pacman,ASR
PEQRAH01_ASR_pacman,['PEQRAH01_ASR_pacman_AllNode_bound_solvent0.xyz'],[],COc1cc(c(cc1c1ccncc1)OC)c1ccncc1.[Co].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;PEQRAH01_ASR_pacman,ASR
PIZHOX_ASR_pacman,['PIZHOX_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Cu].[N][N][N].n1ccc(cc1)C1=NN=N[N]1.n1ccc(cc1)C1=N[N]N=N1 MOFid-v1.bcu.cat0;PIZHOX_ASR_pacman,ASR
XALBIW_ASR_pacman,"['XALBIW_ASR_pacman_AllNode_bound_solvent0.xyz', 'XALBIW_ASR_pacman_AllNode_bound_solvent1.xyz']",[],CCC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1 MOFid-v1.lvt.cat0;XALBIW_ASR_pacman,ASR
XALBOC_ASR_pacman,"['XALBOC_ASR_pacman_AllNode_bound_solvent0.xyz', 'XALBOC_ASR_pacman_AllNode_bound_solvent1.xyz']",[],CCC(=O)[N][N]C(=O)C1=C[CH]C=CC1=O.CCC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].[N]1C=C[C](C=C1)CCc1ccncc1 MOFid-v1.lvt.cat0;XALBOC_ASR_pacman,ASR
XALDOE_ASR_pacman,"['XALDOE_ASR_pacman_AllNode_bound_solvent1.xyz', 'XALDOE_ASR_pacman_AllNode_bound_solvent0.xyz']",[],CCCCCC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1 MOFid-v1.lvt.cat0;XALDOE_ASR_pacman,ASR
XAKZIT_ASR_pacman,"['XAKZIT_ASR_pacman_AllNode_bound_solvent1.xyz', 'XAKZIT_ASR_pacman_AllNode_bound_solvent0.xyz']",[],CC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1 MOFid-v1.UNKNOWN.cat0;XAKZIT_ASR_pacman,ASR
