,MOF,Solv_remove,Formula,Type,Node-file
8035,10876_2018_1483_MOESM2_ESM,ASR,C6Cu3O12,Type-1,10876_2018_1483_MOESM2_ESM_ASR_pacman_node0
8034,10876_2018_1483_MOESM2_ESM,FSR,C6Cu3H8O16,Type-1,10876_2018_1483_MOESM2_ESM_FSR_pacman_node0
12171,10876_2020_1817_MOESM2_ESM,ASR,Cu1,Type-1,10876_2020_1817_MOESM2_ESM_ASR_pacman_node0
12172,41467_2015_BFncomms7350_MOESM943_ESM_1,ASR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_1_ASR_pacman_node0
12173,41467_2015_BFncomms7350_MOESM943_ESM_1,FSR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_1_FSR_pacman_node0
12174,41467_2015_BFncomms7350_MOESM943_ESM_3,FSR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_3_FSR_pacman_node0
13781,41467_2017_BFncomms15369_MOESM422_ESM_2,ASR,F2Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman_node1
13783,41467_2017_BFncomms15369_MOESM422_ESM_2,ASR,F3Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman_node0
13782,41467_2017_BFncomms15369_MOESM422_ESM_2,FSR,F2Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman_node1
13784,41467_2017_BFncomms15369_MOESM422_ESM_2,FSR,F3Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman_node0
9224,41557_2015_BFnchem2258_MOESM175_ESM,ASR,C6O13Zn4,Type-1,41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman_node0
9225,41557_2015_BFnchem2258_MOESM175_ESM,FSR,C6O13Zn4,Type-1,41557_2015_BFnchem2258_MOESM175_ESM_FSR_pacman_node0
406,42004_2023_850_MOESM4_ESM,ASR,Al1,Type-1,42004_2023_850_MOESM4_ESM_ASR_pacman_node0
407,42004_2023_850_MOESM4_ESM,FSR,Al1,Type-1,42004_2023_850_MOESM4_ESM_FSR_pacman_node0
7793,706_2019_2519_MOESM1_ESM,ASR,C6Cl2O13Zn4,Type-1,706_2019_2519_MOESM1_ESM_ASR_pacman_node0
7794,706_2019_2519_MOESM1_ESM,FSR,C6Cl2O13Zn4,Type-1,706_2019_2519_MOESM1_ESM_FSR_pacman_node0
11187,ABAVIJ,ASR,Co1,Type-1,ABAVIJ_ASR_pacman_node0
11188,ABAVIJ,FSR,Co1,Type-1,ABAVIJ_FSR_pacman_node0
11189,ABAVOP,ASR,Co1,Type-1,ABAVOP_ASR_pacman_node0
11190,ABAVOP,FSR,Co1,Type-1,ABAVOP_FSR_pacman_node0
4574,ABAYIO,ASR,C4Cl2Mn2O8,Type-1,ABAYIO_ASR_pacman_node0
4575,ABAYIO,FSR,C4Cl2Mn2O8,Type-1,ABAYIO_FSR_pacman_node0
4569,ABAYOU,ASR,C4Cl2Co2O8,Type-1,ABAYOU_ASR_pacman_node0
4570,ABAYOU,FSR,C4Cl2Co2O8,Type-1,ABAYOU_FSR_pacman_node0
7819,ABEDAQ,ion,C6Co3F1H2O13,Type-1,ABEDAQ_ion_pacman_node0
16644,ABEFUL,ASR,Tb1,Type-1,ABEFUL_ASR_pacman_node0
16645,ABEFUL,FSR,Tb1,Type-1,ABEFUL_FSR_pacman_node0
12175,ABETIN,ASR,Cu1,Type-1,ABETIN_ASR_pacman_node0
14898,ABEXEM,ASR,La1,Type-1,ABEXEM_ASR_pacman_node0
14899,ABEXEM,FSR,La1,Type-1,ABEXEM_FSR_pacman_node0
6206,ABEXEN,ASR,C4In1O8,Type-1,ABEXEN_ASR_pacman_node0
6207,ABEXEN,FSR,C4In1O8,Type-1,ABEXEN_FSR_pacman_node0
10957,ABEXIQ,ASR,Ce1,Type-1,ABEXIQ_ASR_pacman_node0
10958,ABEXIQ,FSR,Ce1,Type-1,ABEXIQ_FSR_pacman_node0
16309,ABEXOW,ASR,Pr1,Type-1,ABEXOW_ASR_pacman_node0
16310,ABEXOW,FSR,Pr1,Type-1,ABEXOW_FSR_pacman_node0
15839,ABEXUC,ASR,Nd1,Type-1,ABEXUC_ASR_pacman_node0
15840,ABEXUC,FSR,Nd1,Type-1,ABEXUC_FSR_pacman_node0
16550,ABEYAJ,ASR,Sm1,Type-1,ABEYAJ_ASR_pacman_node0
16551,ABEYAJ,FSR,Sm1,Type-1,ABEYAJ_FSR_pacman_node0
13490,ABEYEN,ASR,Eu1,Type-1,ABEYEN_ASR_pacman_node0
13491,ABEYEN,FSR,Eu1,Type-1,ABEYEN_FSR_pacman_node0
14269,ABEYIR,ASR,Gd1,Type-1,ABEYIR_ASR_pacman_node0
14270,ABEYIR,FSR,Gd1,Type-1,ABEYIR_FSR_pacman_node0
6690,ABINIM,ASR,C4O8Zn2,Type-1,ABINIM_ASR_pacman_node0
11191,ABIYIV,ASR,Co1,Type-1,ABIYIV_ASR_pacman_node0
11192,ABIYIV,FSR,Co1,Type-1,ABIYIV_FSR_pacman_node0
13022,ABUXUT,ASR,Cu3,Type-1,ABUXUT_ASR_pacman_node0
13023,ABUXUT,FSR,Cu3,Type-1,ABUXUT_FSR_pacman_node0
5088,ACAJIZ,ASR,C4Cu2O8,Type-1,ACAJIZ_ASR_pacman_node0
5089,ACAJIZ,FSR,C4Cu2O8,Type-1,ACAJIZ_FSR_pacman_node0
5090,ACAJOF,ASR,C4Cu2O8,Type-1,ACAJOF_ASR_pacman_node0
5091,ACAJOF,FSR,C4Cu2O8,Type-1,ACAJOF_FSR_pacman_node0
14891,ACECIV,ion,K1,Type-1,ACECIV_ion_pacman_node2
14893,ACECIV,ion,K1Pb1,Type-1,ACECIV_ion_pacman_node0
14894,ACECIV,ion,K2,Type-1,ACECIV_ion_pacman_node1
16285,ACECIV,ion,Pb1,Type-1,ACECIV_ion_pacman_node3
17238,ACENIF,ASR,Zn1,Type-1,ACENIF_ASR_pacman_node0
17239,ACENIF,FSR,Zn1,Type-1,ACENIF_FSR_pacman_node0
11193,ACIBIY,ASR,Co1,Type-1,ACIBIY_ASR_pacman_node0
11194,ACIBIY,FSR,Co1,Type-1,ACIBIY_FSR_pacman_node0
13794,ACODAA,ASR,Fe1,Type-1,ACODAA_ASR_pacman_node0
5092,ACODED,ASR,C4Cu2O8,Type-1,ACODED_ASR_pacman_node0
5093,ACODED,FSR,C4Cu2O8,Type-1,ACODED_FSR_pacman_node0
8969,ACODON,ASR,C6O12Tb2,Type-1,ACODON_ASR_pacman_node0
8970,ACODON,FSR,C6O12Tb2,Type-1,ACODON_FSR_pacman_node0
711,ACOGAB,ASR,Br2Cd1,Type-1,ACOGAB_ASR_pacman_node0
712,ACOGAB,FSR,Br2Cd1,Type-1,ACOGAB_FSR_pacman_node0
10890,ACOGEF,ASR,Cd1I2,Type-1,ACOGEF_ASR_pacman_node0
10891,ACOGEF,FSR,Cd1I2,Type-1,ACOGEF_FSR_pacman_node0
7665,ACOLOV,ASR,C6Cd3O12,Type-1,ACOLOV_ASR_pacman_node0
7666,ACOLUB,ASR,C6Cd3O12,Type-1,ACOLUB_ASR_pacman_node0
7667,ACOLUB,FSR,C6Cd3O12,Type-1,ACOLUB_FSR_pacman_node0
12176,ADABAK,ASR,Cu1,Type-1,ADABAK_ASR_pacman_node0
12177,ADABAK,FSR,Cu1,Type-1,ADABAK_FSR_pacman_node0
12178,ADABIS,ASR,Cu1,Type-1,ADABIS_ASR_pacman_node0
12179,ADABIS,FSR,Cu1,Type-1,ADABIS_FSR_pacman_node0
12180,ADABUE,ASR,Cu1,Type-1,ADABUE_ASR_pacman_node0
12181,ADABUE,FSR,Cu1,Type-1,ADABUE_FSR_pacman_node0
5094,ADASIJ,ASR,C4Cu2O8,Type-1,ADASIJ_ASR_pacman_node0
6691,ADASOP,ASR,C4O8Zn2,Type-1,ADASOP_ASR_pacman_node0
5095,ADATEG,ASR,C4Cu2O8,Type-1,ADATEG_ASR_pacman_node0
3888,ADATIK,ASR,C3Cu3N12O1,Type-1,ADATIK_ASR_pacman_node0
5096,ADATIK,ASR,C4Cu2O8,Type-1,ADATIK_ASR_pacman_node1
11195,ADAXIO,ASR,Co1,Type-1,ADAXIO_ASR_pacman_node0
11196,ADAXIO,FSR,Co1,Type-1,ADAXIO_FSR_pacman_node0
2975,ADECEU,ASR,C2O4Zn1,Type-1,ADECEU_ASR_pacman_node0
2976,ADECEU,FSR,C2O4Zn1,Type-1,ADECEU_FSR_pacman_node0
8372,ADEGIA,ASR,C6Gd2O12,Type-1,ADEGIA_ASR_pacman_node0
11197,ADIQEL,ASR,Co1,Type-1,ADIQEL_ASR_pacman_node0
11198,ADIQEL,FSR,Co1,Type-1,ADIQEL_FSR_pacman_node0
15309,ADOBAX,ion,Mn1,Type-1,ADOBAX_ion_pacman_node1
16989,ADOBAX,ion,V16,Type-1,ADOBAX_ion_pacman_node0
15310,ADOBEB,ion,Mn1,Type-1,ADOBEB_ion_pacman_node1
16990,ADOBEB,ion,V16,Type-1,ADOBEB_ion_pacman_node0
16004,ADOBUR,ion,Ni1,Type-1,ADOBUR_ion_pacman_node1
16991,ADOBUR,ion,V16,Type-1,ADOBUR_ion_pacman_node0
16005,ADOCAY,ion,Ni1,Type-1,ADOCAY_ion_pacman_node1
16992,ADOCAY,ion,V16,Type-1,ADOCAY_ion_pacman_node0
16006,ADOCEC,ion,Ni1,Type-1,ADOCEC_ion_pacman_node1
16993,ADOCEC,ion,V16,Type-1,ADOCEC_ion_pacman_node0
16007,ADOCIG,ion,Ni1,Type-1,ADOCIG_ion_pacman_node1
16994,ADOCIG,ion,V16,Type-1,ADOCIG_ion_pacman_node0
12182,ADODAA,ASR,Cu1,Type-1,ADODAA_ASR_pacman_node0
12183,ADODAA,FSR,Cu1,Type-1,ADODAA_FSR_pacman_node0
14977,ADODII,ASR,La2,Type-1,ADODII_ASR_pacman_node0
14978,ADODII,FSR,La2,Type-1,ADODII_FSR_pacman_node0
13603,ADODOO,ASR,Eu2,Type-1,ADODOO_ASR_pacman_node0
13604,ADODOO,FSR,Eu2,Type-1,ADODOO_FSR_pacman_node0
16760,ADODUU,ASR,Tb2,Type-1,ADODUU_ASR_pacman_node0
16761,ADODUU,FSR,Tb2,Type-1,ADODUU_FSR_pacman_node0
13492,ADOGUZ,ASR,Eu1,Type-1,ADOGUZ_ASR_pacman_node0
13493,ADOGUZ,FSR,Eu1,Type-1,ADOGUZ_FSR_pacman_node0
14348,ADOSUL,ASR,Gd2,Type-1,ADOSUL_ASR_pacman_node0
14349,ADOSUL,FSR,Gd2,Type-1,ADOSUL_FSR_pacman_node0
3872,ADOWAU,ASR,C3Cu1O6,Type-1,ADOWAU_ASR_pacman_node0
3870,ADOWAU,FSR,C3Cu1H2O7,Type-1,ADOWAU_FSR_pacman_node0
10345,ADOWEY,ASR,Cd1,Type-1,ADOWEY_ASR_pacman_node0
10346,ADOWEY,FSR,Cd1,Type-1,ADOWEY_FSR_pacman_node0
8373,ADUHAM,ASR,C6Gd2O12,Type-1,ADUHAM_ASR_pacman_node0
8358,ADUHAM,FSR,C6Gd2H4O14,Type-1,ADUHAM_FSR_pacman_node0
2977,ADUROI,ASR,C2O4Zn1,Type-1,ADUROI_ASR_pacman_node0
13795,AFADAN,ASR,Fe1,Type-1,AFADAN_ASR_pacman_node0
13796,AFADAN,FSR,Fe1,Type-1,AFADAN_FSR_pacman_node0
2978,AFAFEW,ASR,C2O4Zn1,Type-1,AFAFEW_ASR_pacman_node0
2979,AFAFEW,FSR,C2O4Zn1,Type-1,AFAFEW_FSR_pacman_node0
9094,AFEGIE,ASR,C6O12Zn3,Type-1,AFEGIE_ASR_pacman_node0
9095,AFEGIE,FSR,C6O12Zn3,Type-1,AFEGIE_FSR_pacman_node0
12184,AFEJOK,ion,Cu1,Type-1,AFEJOK_ion_pacman_node0
10289,AFIBEA,ASR,C8O24Zr6,Type-2,AFIBEA_ASR_pacman_node0
14979,AFIPAH,ASR,La2,Type-1,AFIPAH_ASR_pacman_node0
2980,AFITEP,ASR,C2O4Zn1,Type-1,AFITEP_ASR_pacman_node0
2981,AFITEP,FSR,C2O4Zn1,Type-1,AFITEP_FSR_pacman_node0
6692,AFITIT,ASR,C4O8Zn2,Type-1,AFITIT_ASR_pacman_node0
6693,AFITIT,FSR,C4O8Zn2,Type-1,AFITIT_FSR_pacman_node0
1625,AFIXEW,ASR,C2Cd1O4,Type-1,AFIXEW_ASR_pacman_node1
4248,AFIXEW,ASR,C4Cd2O8,Type-1,AFIXEW_ASR_pacman_node0
13605,AFOTOF,ASR,Eu2,Type-1,AFOTOF_ASR_pacman_node0
13606,AFOTOF,FSR,Eu2,Type-1,AFOTOF_FSR_pacman_node0
16598,AFOTUL,ASR,Sm2,Type-1,AFOTUL_ASR_pacman_node0
16599,AFOTUL,FSR,Sm2,Type-1,AFOTUL_FSR_pacman_node0
14980,AFOVAT,ASR,La2,Type-1,AFOVAT_ASR_pacman_node0
14981,AFOVAT,FSR,La2,Type-1,AFOVAT_FSR_pacman_node0
11003,AFOVEX,ASR,Ce2,Type-1,AFOVEX_ASR_pacman_node0
11004,AFOVEX,FSR,Ce2,Type-1,AFOVEX_FSR_pacman_node0
14350,AFOVIB,ASR,Gd2,Type-1,AFOVIB_ASR_pacman_node0
14351,AFOVIB,FSR,Gd2,Type-1,AFOVIB_FSR_pacman_node0
15905,AFOVOH,ASR,Nd2,Type-1,AFOVOH_ASR_pacman_node0
15906,AFOVOH,FSR,Nd2,Type-1,AFOVOH_FSR_pacman_node0
10347,AFOWOK,ASR,Cd1,Type-1,AFOWOK_ASR_pacman_node0
10348,AFOWOK,FSR,Cd1,Type-1,AFOWOK_FSR_pacman_node0
8374,AFUDUD,ASR,C6Gd2O12,Type-1,AFUDUD_ASR_pacman_node0
8938,AFUFAL,ASR,C6O12Pr2,Type-1,AFUFAL_ASR_pacman_node0
8807,AFUKAP,ASR,C6Mn3O12,Type-1,AFUKAP_ASR_pacman_node0
8808,AFUKAP,FSR,C6Mn3O12,Type-1,AFUKAP_FSR_pacman_node0
8809,AFUKET,ASR,C6Mn3O12,Type-1,AFUKET_ASR_pacman_node0
8568,AFUKET,FSR,C6H4Mn3O14,Type-1,AFUKET_FSR_pacman_node0
14982,AGARUW,ASR,La2,Type-1,AGARUW_ASR_pacman_node0
14983,AGARUW,FSR,La2,Type-1,AGARUW_FSR_pacman_node0
2357,AGAVUD,FSR,C2Cu1H2O5,Type-1,AGAVUD_FSR_pacman_node0
2638,AGAWAK,FSR,C2H2Ni1O5,Type-1,AGAWAK_FSR_pacman_node0
13046,AGESIP,ASR,Cu3,Type-2,AGESIP_ASR_pacman_node0
13047,AGESIP,FSR,Cu3,Type-2,AGESIP_FSR_pacman_node0
10310,AGILIP,ASR,C9Co2H6N6,Type-1,AGILIP_ASR_pacman_node0
10311,AGILIP,FSR,C9Co2H6N6,Type-1,AGILIP_FSR_pacman_node0
10858,AGISUI,ASR,Cd1Cl2,Type-1,AGISUI_ASR_pacman_node0
10859,AGISUI,FSR,Cd1Cl2,Type-1,AGISUI_FSR_pacman_node0
7606,AGONAM,ASR,C6Cd2O12,Type-1,AGONAM_ASR_pacman_node0
7607,AGONAM,FSR,C6Cd2O12,Type-1,AGONAM_FSR_pacman_node0
4137,AGONEQ,ASR,C4Cd1O8,Type-1,AGONEQ_ASR_pacman_node0
4138,AGONEQ,FSR,C4Cd1O8,Type-1,AGONEQ_FSR_pacman_node0
8702,AGOVID,ASR,C6In3O13,Type-1,AGOVID_ASR_pacman_node0
8703,AGOVID,FSR,C6In3O13,Type-1,AGOVID_FSR_pacman_node0
8704,AGOWAW,ASR,C6In3O13,Type-1,AGOWAW_ASR_pacman_node0
8705,AGOWAW,FSR,C6In3O13,Type-1,AGOWAW_FSR_pacman_node0
8706,AGOWEA,ASR,C6In3O13,Type-1,AGOWEA_ASR_pacman_node0
8707,AGOWEA,FSR,C6In3O13,Type-1,AGOWEA_FSR_pacman_node0
12185,AGUVOO,ASR,Cu1,Type-1,AGUVOO_ASR_pacman_node0
16008,AGUWUV,ASR,Ni1,Type-1,AGUWUV_ASR_pacman_node0
16009,AGUWUV,FSR,Ni1,Type-1,AGUWUV_FSR_pacman_node0
5097,AHEBAS,ASR,C4Cu2O8,Type-1,AHEBAS_ASR_pacman_node0
892,AHIYOH,ASR,C12Co7H4O28,Type-1,AHIYOH_ASR_pacman_node0
4454,AHOZAA,ASR,C4Cd2O8,Type-2,AHOZAA_ASR_pacman_node0
12188,AJACEW,ASR,Cu1,Type-1,AJACEW_ASR_pacman_node0
12189,AJACEW,FSR,Cu1,Type-1,AJACEW_FSR_pacman_node0
12186,AJACEW01,ASR,Cu1,Type-1,AJACEW01_ASR_pacman_node0
12187,AJACEW01,FSR,Cu1,Type-1,AJACEW01_FSR_pacman_node0
867,AJAKON,ASR,C12Cd5O24,Type-1,AJAKON_ASR_pacman_node0
12190,AJAYIT,ASR,Cu1,Type-1,AJAYIT_ASR_pacman_node0
13365,AJAYIT,ASR,Er1,Type-1,AJAYIT_ASR_pacman_node1
12191,AJAYIT,FSR,Cu1,Type-1,AJAYIT_FSR_pacman_node0
13366,AJAYIT,FSR,Er1,Type-1,AJAYIT_FSR_pacman_node1
5836,AJINOY,ASR,C4Cu2O8,Type-2,AJINOY_ASR_pacman_node0
5837,AJINOY,FSR,C4Cu2O8,Type-2,AJINOY_FSR_pacman_node0
3879,AJIRUJ,ASR,C3Cu2O6,Type-1,AJIRUJ_ASR_pacman_node0
3880,AJIRUJ,FSR,C3Cu2O6,Type-1,AJIRUJ_FSR_pacman_node0
10349,AJOVEB,ASR,Cd1,Type-1,AJOVEB_ASR_pacman_node0
10350,AJOVEB,FSR,Cd1,Type-1,AJOVEB_FSR_pacman_node0
6208,AJUCOA,ASR,C4In1O8,Type-1,AJUCOA_ASR_pacman_node0
6209,AJUCOA,FSR,C4In1O8,Type-1,AJUCOA_FSR_pacman_node0
680,AKAYIV,ASR,Br1Cu1,Type-1,AKAYIV_ASR_pacman_node0
681,AKAYIV,FSR,Br1Cu1,Type-1,AKAYIV_FSR_pacman_node0
17147,AKEPOY,ASR,Y1,Type-1,AKEPOY_ASR_pacman_node0
17148,AKEPOY,FSR,Y1,Type-1,AKEPOY_FSR_pacman_node0
6694,AKORUQ,ASR,C4O8Zn2,Type-1,AKORUQ_ASR_pacman_node0
6695,AKORUQ,FSR,C4O8Zn2,Type-1,AKORUQ_FSR_pacman_node0
14352,AKUHOD01,ASR,Gd2,Type-1,AKUHOD01_ASR_pacman_node0
16010,AKUKUO,ASR,Ni1,Type-1,AKUKUO_ASR_pacman_node0
16011,AKUKUO,FSR,Ni1,Type-1,AKUKUO_FSR_pacman_node0
10127,ALAHUS,ASR,C8O16Tb3,Type-1,ALAHUS_ASR_pacman_node0
10216,ALAHUS,FSR,C8O21Tb3,Type-1,ALAHUS_FSR_pacman_node0
8708,ALEJAE,ASR,C6In3O13,Type-1,ALEJAE_ASR_pacman_node0
5098,ALEJEI,ASR,C4Cu2O8,Type-1,ALEJEI_ASR_pacman_node0
6696,ALEJIM,ASR,C4O8Zn2,Type-1,ALEJIM_ASR_pacman_node0
17149,ALIDIL,ASR,Y1,Type-1,ALIDIL_ASR_pacman_node0
17150,ALIDIL,FSR,Y1,Type-1,ALIDIL_FSR_pacman_node0
9707,ALIXID,ASR,C8Co3O16,Type-1,ALIXID_ASR_pacman_node0
9708,ALIXID,FSR,C8Co3O16,Type-1,ALIXID_FSR_pacman_node0
671,ALOLES,ion,Bi6C16K2O36,Type-1,ALOLES_ion_pacman_node0
2036,ALOVAB,FSR,C2Co1H4O6,Type-1,ALOVAB_FSR_pacman_node0
8181,ALUKUO,ASR,C6Eu2O12,Type-1,ALUKUO_ASR_pacman_node0
8182,ALUKUO,FSR,C6Eu2O12,Type-1,ALUKUO_FSR_pacman_node0
870,ALULEZ,ASR,C12Ce3O24,Type-1,ALULEZ_ASR_pacman_node0
871,ALULEZ,FSR,C12Ce3O24,Type-1,ALULEZ_FSR_pacman_node0
4978,ALURAB,ASR,C4Co3O8,Type-1,ALURAB_ASR_pacman_node0
4979,ALURAB,FSR,C4Co3O8,Type-1,ALURAB_FSR_pacman_node0
4980,ALUREF,ASR,C4Co3O8,Type-1,ALUREF_ASR_pacman_node0
4981,ALUREF,FSR,C4Co3O8,Type-1,ALUREF_FSR_pacman_node0
6544,ALURIJ,ASR,C4Ni3O8,Type-1,ALURIJ_ASR_pacman_node0
6545,ALURIJ,FSR,C4Ni3O8,Type-1,ALURIJ_FSR_pacman_node0
2389,AMAGAX,ASR,C2Cu1O4,Type-1,AMAGAX_ASR_pacman_node0
2390,AMAGAX,FSR,C2Cu1O4,Type-1,AMAGAX_FSR_pacman_node0
12909,AMAVIW,ASR,Cu2,Type-1,AMAVIW_ASR_pacman_node0
12910,AMAVIW,FSR,Cu2,Type-1,AMAVIW_FSR_pacman_node0
15311,AMAVOC,ASR,Mn1,Type-1,AMAVOC_ASR_pacman_node0
15312,AMAVOC,FSR,Mn1,Type-1,AMAVOC_FSR_pacman_node0
10860,AMIKOX,ASR,Cd1Cl2,Type-1,AMIKOX_ASR_pacman_node0
10861,AMIKOX,FSR,Cd1Cl2,Type-1,AMIKOX_FSR_pacman_node0
6697,AMILOY,ASR,C4O8Zn2,Type-1,AMILOY_ASR_pacman_node0
6698,AMILOY,FSR,C4O8Zn2,Type-1,AMILOY_FSR_pacman_node0
6699,AMILUE,ASR,C4O8Zn2,Type-1,AMILUE_ASR_pacman_node0
6700,AMILUE,FSR,C4O8Zn2,Type-1,AMILUE_FSR_pacman_node0
6701,AMIMAL,ASR,C4O8Zn2,Type-1,AMIMAL_ASR_pacman_node0
6702,AMIMAL,FSR,C4O8Zn2,Type-1,AMIMAL_FSR_pacman_node0
8247,AMOFAK,ASR,C6Eu2O12,Type-2,AMOFAK_ASR_pacman_node0
8248,AMOFAK,FSR,C6Eu2O12,Type-2,AMOFAK_FSR_pacman_node0
17075,AMOGIV,ASR,V4,Type-1,AMOGIV_ASR_pacman_node0
17076,AMOGIV,FSR,V4,Type-1,AMOGIV_FSR_pacman_node0
17073,AMOGIV01,ASR,V4,Type-1,AMOGIV01_ASR_pacman_node0
17074,AMOGIV01,FSR,V4,Type-1,AMOGIV01_FSR_pacman_node0
17077,AMOGOB,ASR,V4,Type-1,AMOGOB_ASR_pacman_node0
17078,AMOGOB,FSR,V4,Type-1,AMOGOB_FSR_pacman_node0
17079,AMOGUH,ASR,V4,Type-1,AMOGUH_ASR_pacman_node0
17080,AMOGUH,FSR,V4,Type-1,AMOGUH_FSR_pacman_node0
17081,AMOHES,ASR,V4,Type-1,AMOHES_ASR_pacman_node0
17082,AMOHES,FSR,V4,Type-1,AMOHES_FSR_pacman_node0
17083,AMOHIW,ASR,V4,Type-1,AMOHIW_ASR_pacman_node0
17084,AMOHIW,FSR,V4,Type-1,AMOHIW_FSR_pacman_node0
17087,AMOHOC,ASR,V4,Type-1,AMOHOC_ASR_pacman_node0
17088,AMOHOC,FSR,V4,Type-1,AMOHOC_FSR_pacman_node0
17085,AMOHOC01,ASR,V4,Type-1,AMOHOC01_ASR_pacman_node0
17086,AMOHOC01,FSR,V4,Type-1,AMOHOC01_FSR_pacman_node0
17089,AMOHUI,ASR,V4,Type-1,AMOHUI_ASR_pacman_node0
17090,AMOHUI,FSR,V4,Type-1,AMOHUI_FSR_pacman_node0
17091,AMOJAQ,ASR,V4,Type-1,AMOJAQ_ASR_pacman_node0
17092,AMOJAQ,FSR,V4,Type-1,AMOJAQ_FSR_pacman_node0
17093,AMOJEU,ASR,V4,Type-1,AMOJEU_ASR_pacman_node0
17094,AMOJEU,FSR,V4,Type-1,AMOJEU_FSR_pacman_node0
17095,AMOJIY,ASR,V4,Type-1,AMOJIY_ASR_pacman_node0
17096,AMOJIY,FSR,V4,Type-1,AMOJIY_FSR_pacman_node0
16977,AMOJUK,ASR,V1,Type-1,AMOJUK_ASR_pacman_node0
16978,AMOJUK,FSR,V1,Type-1,AMOJUK_FSR_pacman_node0
16979,AMOKAR,ion,V1,Type-1,AMOKAR_ion_pacman_node0
13797,AMOKEV,ASR,Fe1,Type-1,AMOKEV_ASR_pacman_node0
13798,AMOKEV,FSR,Fe1,Type-1,AMOKEV_FSR_pacman_node0
14731,AMOKIZ,ASR,In1,Type-1,AMOKIZ_ASR_pacman_node0
14732,AMOKIZ,FSR,In1,Type-1,AMOKIZ_FSR_pacman_node0
2982,AMOYOR,ASR,C2O4Zn1,Type-1,AMOYOR_ASR_pacman_node0
2983,AMOYOR,FSR,C2O4Zn1,Type-1,AMOYOR_FSR_pacman_node0
11199,AMUFEV,FSR,Co1,Type-1,AMUFEV_FSR_pacman_node0
11200,AMUFOF,FSR,Co1,Type-1,AMUFOF_FSR_pacman_node0
7281,AMUFUM,ASR,C4O8Zn2,Type-2,AMUFUM_ASR_pacman_node0
7282,AMUFUM,FSR,C4O8Zn2,Type-2,AMUFUM_FSR_pacman_node0
2984,AMUPOP,ASR,C2O4Zn1,Type-1,AMUPOP_ASR_pacman_node0
2985,AMUPOP,FSR,C2O4Zn1,Type-1,AMUPOP_FSR_pacman_node0
1358,AMUQEG,ASR,C1Cu1O2,Type-1,AMUQEG_ASR_pacman_node0
10351,ANAGOO,ion,Cd1,Type-1,ANAGOO_ion_pacman_node0
12953,ANAMUA,ASR,Cu2H4Mo8O14,Type-1,ANAMUA_ASR_pacman_node0
14733,ANAWIX,ASR,In1,Type-1,ANAWIX_ASR_pacman_node0
14734,ANAWIX,FSR,In1,Type-1,ANAWIX_FSR_pacman_node0
14735,ANAWOD,ASR,In1,Type-1,ANAWOD_ASR_pacman_node0
14736,ANAWOD,FSR,In1,Type-1,ANAWOD_FSR_pacman_node0
2071,ANELAJ,ASR,C2Co1O4,Type-1,ANELAJ_ASR_pacman_node0
2072,ANELAJ,FSR,C2Co1O4,Type-1,ANELAJ_FSR_pacman_node0
14984,ANENEN,ASR,La2,Type-1,ANENEN_ASR_pacman_node0
786,ANIDIL,ASR,C10Co7O24,Type-1,ANIDIL_ASR_pacman_node0
787,ANIDIL,FSR,C10Co7O24,Type-1,ANIDIL_FSR_pacman_node0
5099,ANOMUM,ASR,C4Cu2O8,Type-1,ANOMUM_ASR_pacman_node0
5100,ANONAT,ASR,C4Cu2O8,Type-1,ANONAT_ASR_pacman_node0
5101,ANUGOG,ASR,C4Cu2O8,Type-1,ANUGOG_ASR_pacman_node0
7535,ANUGUM,ASR,C5O10Zn2,Type-1,ANUGUM_ASR_pacman_node0
7536,ANUGUM,FSR,C5O10Zn2,Type-1,ANUGUM_FSR_pacman_node0
15313,APARAM,ASR,Mn1,Type-1,APARAM_ASR_pacman_node0
15314,APARAM,FSR,Mn1,Type-1,APARAM_FSR_pacman_node0
8183,APAYIB,ASR,C6Eu2O12,Type-1,APAYIB_ASR_pacman_node0
8160,APAYIB,FSR,C6Eu2H8O16,Type-1,APAYIB_FSR_pacman_node0
8971,APAYOH,ASR,C6O12Tb2,Type-1,APAYOH_ASR_pacman_node0
8662,APAYOH,FSR,C6H8O16Tb2,Type-1,APAYOH_FSR_pacman_node0
8731,APAYUN,ASR,C6La2O12,Type-1,APAYUN_ASR_pacman_node0
8640,APAYUN,FSR,C6H8La2O16,Type-1,APAYUN_FSR_pacman_node0
8184,APAZAU,ASR,C6Eu2O12,Type-1,APAZAU_ASR_pacman_node0
8161,APAZAU,FSR,C6Eu2H8O16,Type-1,APAZAU_FSR_pacman_node0
8972,APAZEY,ASR,C6O12Tb2,Type-1,APAZEY_ASR_pacman_node0
8663,APAZEY,FSR,C6H8O16Tb2,Type-1,APAZEY_FSR_pacman_node0
