,MOF,Solv_remove,Formula,Type,Node-file
3643,c8tc02425a2,ASR,C2O4Zn1,Type-1,c8tc02425a2_ASR_pacman_node0
3644,c8tc02425a2,FSR,C2O4Zn1,Type-1,c8tc02425a2_FSR_pacman_node0
10265,c8tc03036g4,ASR,C8O24Zr6,Type-1,c8tc03036g4_ASR_pacman_node0
11855,c8tc03356k2_2,ASR,Co1,Type-1,c8tc03356k2_2_ASR_pacman_node0
11856,c8tc03356k2_3,ASR,Co1,Type-1,c8tc03356k2_3_ASR_pacman_node0
11857,c8tc03356k2_3,FSR,Co1,Type-1,c8tc03356k2_3_FSR_pacman_node0
10177,c8tc05956j3,ASR,C8O16Zn3,Type-1,c8tc05956j3_ASR_pacman_node0
10178,c8tc05956j3,FSR,C8O16Zn3,Type-1,c8tc05956j3_FSR_pacman_node0
855,c9an01204d2,ASR,C11Cd4H3O22,Type-1,c9an01204d2_ASR_pacman_node0
1171,c9cc00802k2,ASR,C12O32Zr6,Type-1,c9cc00802k2_ASR_pacman_node0
1172,c9cc00802k2,FSR,C12O32Zr6,Type-1,c9cc00802k2_FSR_pacman_node0
7213,c9cc02405k2_1,ASR,C4O8Zn2,Type-1,c9cc02405k2_1_ASR_pacman_node1
7452,c9cc02405k2_1,ASR,C4O9Zn2,Type-2,c9cc02405k2_1_ASR_pacman_node0
7214,c9cc02405k2_1,FSR,C4O8Zn2,Type-1,c9cc02405k2_1_FSR_pacman_node1
7453,c9cc02405k2_1,FSR,C4O9Zn2,Type-2,c9cc02405k2_1_FSR_pacman_node0
18304,c9cc02439e2_1,ASR,Zn1,Type-1,c9cc02439e2_1_ASR_pacman_node0
18305,c9cc02439e2_1,FSR,Zn1,Type-1,c9cc02439e2_1_FSR_pacman_node0
18306,c9cc02439e2_2,ASR,Zn1,Type-1,c9cc02439e2_2_ASR_pacman_node0
18307,c9cc02439e2_2,FSR,Zn1,Type-1,c9cc02439e2_2_FSR_pacman_node0
2952,c9cc02819f2_5,ASR,C2Ni1O4,Type-3,c9cc02819f2_5_ASR_pacman_node0
2953,c9cc02819f2_5,FSR,C2Ni1O4,Type-3,c9cc02819f2_5_FSR_pacman_node0
18308,c9cc04446a2_1,ASR,Zn1,Type-1,c9cc04446a2_1_ASR_pacman_node0
18309,c9cc04446a2_1,FSR,Zn1,Type-1,c9cc04446a2_1_FSR_pacman_node0
18310,c9cc04446a2_3,ASR,Zn1,Type-1,c9cc04446a2_3_ASR_pacman_node0
18311,c9cc04446a2_3,FSR,Zn1,Type-1,c9cc04446a2_3_FSR_pacman_node0
18312,c9cc04446a2_4,ASR,Zn1,Type-1,c9cc04446a2_4_ASR_pacman_node0
