cifname,mofid
ROYJUM_FSR_pacman,"[Ni][O]([Ni])[Ni].[O-]C(=O)c1c(N)c(N)c(c(c1N)N)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.nia-d,acs.cat0;ROYJUM_FSR_pacman"
ROLCEC16_FSR_pacman,[Cu].[O-]C=O MOFid-v1.acs.cat0;ROLCEC16_FSR_pacman
ROYROO_FSR_pacman,[O-]C(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)[O-].[OH2][Yb] MOFid-v1.rob.cat0;ROYROO_FSR_pacman
RUHFUX_FSR_pacman,[Cu].[O-]C(=O)C(C(=O)[O-])([O])[O].[O][Nd] MOFid-v1.UNKNOWN.cat0;RUHFUX_FSR_pacman
REGMUN_FSR_pacman,"Cc1c(Cn2cncc2)c(C)c(c(c1Cn1cncc1)C)Cn1cncc1.[Co].[O-]C(=O)c1cc(cc(n1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.UNKNOWN,ERROR.cat0;REGMUN_FSR_pacman"
REWVEX_FSR_pacman,[O-]C(=O)c1cncc(c1)C(=O)[O-].[O].[Tb] MOFid-v1.ERROR.cat0;REWVEX_FSR_pacman
RORRIC03_FSR_pacman,* MOFid-v1.NA.NA;RORRIC03_FSR_pacman
REDROI_FSR_pacman,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH].[Zn] MOFid-v1.UNKNOWN.cat0;REDROI_FSR_pacman
REWNEO01_FSR_pacman,"[O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1nnc(c1)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1nnn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Cu][Cu][OH2] MOFid-v1.ERROR,ntt.cat0;REWNEO01_FSR_pacman"
RULXOM_FSR_pacman,[Fe][O]([Fe])([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.the.cat0;RULXOM_FSR_pacman
RISZAY_FSR_pacman,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Tb][OH2] MOFid-v1.ERROR.cat0;RISZAY_FSR_pacman
RUGKEL_FSR_pacman,[Cr].[Mn].[O-]C(=O)C(=O)[O-] MOFid-v1.ERROR.cat0;RUGKEL_FSR_pacman
ROGHAZ_FSR_pacman,"[Cd].[O-]C(=O)c1cc(CN2[N]C(=N[C]2c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])Cn1nc(nc1c1ccncc1)c1ccncc1 MOFid-v1.UNKNOWN,ant.cat0;ROGHAZ_FSR_pacman"
RIGZOA_FSR_pacman,[Ni].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)N1[N]C=N[CH]1)N1[N]C=N[CH]1.[OH2][Ni][OH2] MOFid-v1.UNKNOWN.cat0;RIGZOA_FSR_pacman
RIRHOS_FSR_pacman,[O-]C(=O)c1ccc2-c3c(S(=O)(=O)c2c1)cc(cc3N(=O)=O)C(=O)[O-].[OH2][Eu][OH2].[O]N1OON([O])c2c3-c4c1cc(cc4S(=O)(=O)c3cc(c2)C(=O)[O-])C(=O)[O-] MOFid-v1.ERROR.cat0;RIRHOS_FSR_pacman
RAYLAG_FSR_pacman,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Zn] MOFid-v1.ERROR.cat0;RAYLAG_FSR_pacman
RETRER_FSR_pacman,O[Cu]O.[Cu].[O-]C(=O)CC(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;RETRER_FSR_pacman
RUHDEF_FSR_pacman,"[Co].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1 MOFid-v1.sql,UNKNOWN.cat0;RUHDEF_FSR_pacman"
RAWZOH_FSR_pacman,[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1cc(cc(c1)c1[nH]c2c(n1)cncc2)c1[nH]c2c(n1)ccnc2 MOFid-v1.pcu.cat1;RAWZOH_FSR_pacman
REZJIR03_FSR_pacman,[Mn].[O-]C=O MOFid-v1.pcu.cat0;REZJIR03_FSR_pacman
RIQKAH_FSR_pacman,* MOFid-v1.NA.NAno_mof;RIQKAH_FSR_pacman
RIDHIZ_FSR_pacman,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)c1cncc(n1)c1ccc(cc1)C(=O)[O-] MOFid-v1.xmz.cat0;RIDHIZ_FSR_pacman
RELLAW_FSR_pacman,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.pcu.cat1;RELLAW_FSR_pacman
RUMRUO_FSR_pacman,F[Zn].F[Zn]F.NC1=NN=N[N]1.[Zn] MOFid-v1.ERROR.cat0;RUMRUO_FSR_pacman
RAYLEK_FSR_pacman,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[Zn] MOFid-v1.ERROR.cat0;RAYLEK_FSR_pacman
RORVAX_FSR_pacman,* MOFid-v1.NA.NA;RORVAX_FSR_pacman
RISXAW_FSR_pacman,[O-]C(=O)c1cc(CN2[CH]C=C(C=C2)c2ccncc2)cc(c1)C(=O)[O-].[OH2][Cd] MOFid-v1.hcb.cat1;RISXAW_FSR_pacman
RIXPIZ_FSR_pacman,[Al]1O[Al]O[Al]O[Al]O[Al]O[Al]O[Al]O[Al]O1.[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.fon.cat0;RIXPIZ_FSR_pacman
RAWZIB_FSR_pacman,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1cc(cc(c1)c1[nH]c2c(n1)cncc2)c1[nH]c2c(n1)ccnc2 MOFid-v1.pcu.cat1;RAWZIB_FSR_pacman
RIXDEL_FSR_pacman,[O-]C(=O)c1cc(nc(c1)c1nccc(c1)C(=O)[O-])c1nccc(c1)C(=O)[O-].[Zn] MOFid-v1.UNKNOWN.cat0;RIXDEL_FSR_pacman
RIDHUL_FSR_pacman,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-] MOFid-v1.xmz.cat0;RIDHUL_FSR_pacman
RIBTED_FSR_pacman,[Mn].[Mn]1OO1.[O-]C(=O)c1ccc(cc1)NC1=[N]=C([N]C(=N1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.UNKNOWN.cat0;RIBTED_FSR_pacman
ROYJOG_FSR_pacman,"[Ni][O]([Ni])[Ni].[O-]C(=O)c1c(O)c(O)c(c(c1O)O)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.nia-d,acs.cat0;ROYJOG_FSR_pacman"
RIVZUV_FSR_pacman,C#CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC#C.[OH2][Cu].n1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat1;RIVZUV_FSR_pacman
